CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifetimeDays,PurchaseFrequencyMonthly,AvgQuantityPerOrder,UniqueProducts,ReturnRate,Recency_log,Frequency_log,Monetary_log,Recency_log_scaled,Frequency_log_scaled,Monetary_log_scaled,AvgOrderValue_scaled,UniqueProducts_scaled,ReturnRate_scaled,CustomerLifetimeDays_scaled,PurchaseFrequencyMonthly_scaled,AvgQuantityPerOrder_scaled
12747,2,11,1604.39,145.85363636363638,366,0.8333333333333333,55.0,39,0.0,1.0986122886681098,2.4849066497880004,7.381121996700874,-2.0599710817626367,1.7857100419997765,1.0362401923729543,-0.49516677429706957,-0.24744038636165014,-0.6334606583291795,1.8146535777690822,-0.05779349768918646,-0.7374902462542847
12748,1,197,22538.96,114.41096446700507,372,14.701492537313433,76.77664974619289,1731,0.0625,0.6931471805599453,5.288267030694535,10.0230450129693,-2.3644669631210973,6.065309091187334,3.1605419374264137,-0.6753178271603437,21.032586420514026,-0.2511586893861431,1.8603927291397433,18.100183682458947,-0.5413411028157936
12749,4,5,3399.96,679.992,209,0.6276150627615062,253.4,152,0.375,1.6094379124341003,1.791759469228055,8.13181302369134,-1.6763516397473774,0.7275542532987449,1.6398513683277478,2.565183468840717,1.1737434370289828,1.660351155329039,0.617812450236786,-0.3271463085157829,1.0495610454624371
12820,3,4,885.82,221.455,323,0.33994334277620397,164.0,53,0.0,1.3862943611198906,1.6094379124341003,6.78764203048739,-1.843927815768796,0.4492228741381796,0.5590383510936101,-0.06200812601917521,-0.07136451443714693,-0.6334606583291795,1.486856326279345,-0.7038031127849429,0.24430708639250293
12821,214,1,92.72,92.72,0,1.0,70.0,6,0.0,5.3706380281276624,0.6931471805599453,4.540311613639595,1.148231588973098,-0.9495829917134091,-1.2479817236111097,-0.7995963903561606,-0.6624763701836934,-0.6334606583291795,-0.9754346558412388,0.16042793209914097,-0.6023805215781213
12822,71,2,806.08,403.04,16,1.3043478260869565,231.0,40,0.3333333333333333,4.276666119016055,1.0986122886681098,6.693422795946478,0.3266813890050302,-0.33060153540228626,0.4832791093896019,0.9783846574478811,-0.23486353836704277,1.4054831760336812,-0.8534635855194761,0.5589192386691301,0.8477971899460329
12824,60,1,349.42,349.42,0,1.0,226.0,24,0.0,4.110873864173311,0.6931471805599453,5.8591324350589415,0.20217484639204492,-0.9495829917134091,-0.18755212172550065,0.6711684168470409,-0.4360931062807607,-0.6334606583291795,-0.9754346558412388,0.16042793209914097,0.8027606150539784
12826,3,7,1460.8,208.68571428571428,362,0.5357142857142857,144.28571428571428,57,0.125,1.3862943611198906,2.0794415416798357,7.287423832046291,-1.843927815768796,1.1667285856886533,0.9608999294438796,-0.13516985582709903,-0.021057122458717447,0.13114327955689328,1.7841608101886417,-0.44747462231119944,0.0667343053895452
12827,6,3,385.6,128.53333333333333,38,1.323529411764706,62.666666666666664,19,0.0,1.9459101490553132,1.3862943611198906,5.95739056677423,-1.4236679730302468,0.10857279698762226,-0.10854530760443645,-0.5944035960620274,-0.4989773462537976,-0.6334606583291795,-0.6857533638270524,0.5840342369823649,-0.6684341647531346
12828,3,6,888.46,148.07666666666668,127,1.1464968152866242,77.16666666666667,44,0.0,1.3862943611198906,1.9459101490553132,6.790614537010995,-1.843927815768796,0.962880081299146,0.5614284664589684,-0.48242990349440795,-0.18455614638861328,-0.6334606583291795,-0.0072892851622476515,0.3522403990468427,-0.5378280975661764
12829,337,2,90.25,45.125,23,1.1320754716981132,5.5,5,0.3333333333333333,5.823045895483019,1.0986122886681098,4.513602992462601,1.487980508298413,-0.33060153540228626,-1.2694574328671648,-1.0722923428253324,-0.6750532181783008,1.4054831760336812,-0.8001012422537049,0.33335812174272106,-1.183352337685624
12831,262,1,108.25,108.25,0,1.0,43.0,6,0.0,5.572154032177765,0.6931471805599453,4.693638833975699,1.299565925847042,-0.9495829917134091,-1.1246952842567055,-0.7106171248483082,-0.6624763701836934,-0.6334606583291795,-0.9754346558412388,0.16042793209914097,-0.8455780259952155
12832,32,2,383.03000000000003,191.51500000000001,65,0.631578947368421,97.5,27,0.0,3.4965075614664802,1.0986122886681098,5.950720674536128,-0.2592014966735856,-0.33060153540228626,-0.11390839488346419,-0.23354960762285207,-0.3983625622969386,-0.6334606583291795,-0.47992718265907797,-0.32195628111716157,-0.3546793596718216
