CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifetimeDays,PurchaseFrequencyMonthly,AvgQuantityPerOrder,UniqueProducts,ReturnRate,Target
12747,9,8,1036.08,129.51,259,0.8304498269896194,48.75,30,0.0,1
12748,1,122,10252.56,84.03737704918032,271,12.159468438538205,50.5,1111,0.05223880597014925,1
12749,30,3,2195.61,731.87,82,0.8035714285714285,294.6666666666667,106,0.5,1
12820,226,1,170.46,170.46,0,1.0,146.0,11,0.0,1
12821,114,1,92.72,92.72,0,1.0,70.0,6,0.0,0
12826,78,4,804.7,201.175,186,0.5555555555555556,168.25,49,0.2,1
12828,12,2,298.40000000000003,149.20000000000002,17,1.2765957446808511,64.0,18,0.0,1
12829,236,2,90.25,45.125,23,1.1320754716981132,5.5,5,0.3333333333333333,0
12831,162,1,108.25,108.25,0,1.0,43.0,6,0.0,0
12833,45,1,417.38,417.38,0,1.0,156.0,24,0.0,0
12834,182,1,312.38,312.38,0,1.0,110.0,18,0.0,0
12836,37,3,1613.48,537.8266666666667,174,0.4411764705882353,238.0,105,0.0,1
12837,73,1,134.1,134.1,0,1.0,24.0,12,0.0,0
12838,273,1,390.79,390.79,0,1.0,228.0,59,0.0,1
12839,13,8,2403.81,300.47625,253,0.8480565371024735,207.875,65,0.1111111111111111,1
12840,43,4,2451.17,612.7925,82,1.0714285714285714,351.75,67,0.3333333333333333,0
12841,6,17,2448.82,144.04823529411766,265,1.728813559322034,89.29411764705883,167,0.0,1
12842,208,1,180.03000000000003,180.03000000000003,0,1.0,150.0,12,0.0,1
12843,59,7,1266.39,180.91285714285715,104,1.5671641791044775,83.71428571428571,65,0.125,1
12844,30,1,174.88,174.88,0,1.0,77.0,27,0.0,1
12845,168,2,71.79,35.895,21,1.1764705882352942,12.5,25,0.0,0
12849,168,1,448.84999999999997,448.84999999999997,0,1.0,303.0,27,0.0,1
12852,194,1,311.55,311.55,0,1.0,149.0,17,0.5,0
12853,34,5,1386.9,277.38,181,0.7109004739336492,101.6,59,0.3333333333333333,0
12854,141,2,636.92,318.46,77,0.5607476635514018,169.5,69,0.5,1
12855,272,1,38.1,38.1,0,1.0,30.0,3,0.0,0
12857,110,2,819.45,409.725,91,0.49586776859504134,151.0,32,0.0,0
12864,38,1,10.2,10.2,0,1.0,12.0,1,0.0,0
12867,65,5,2200.29,440.058,194,0.6696428571428572,467.4,183,0.16666666666666666,1
12868,85,6,1607.0600000000002,267.84333333333336,187,0.8294930875576038,154.66666666666666,72,0.0,0
12871,107,1,50.4,50.4,0,1.0,48.0,3,0.0,1
12872,226,2,521.17,260.585,38,0.8823529411764706,137.5,58,0.0,0
12877,24,8,821.63,102.70375,233,0.9125475285171103,82.125,41,0.0,1
12878,136,2,854.99,427.495,29,1.0169491525423728,273.5,38,0.0,0
12881,175,1,103.0,103.0,0,1.0,20.0,6,0.0,0
12885,23,1,645.35,645.35,0,1.0,346.0,39,0.5,1
12886,119,1,730.48,730.48,0,1.0,332.0,45,0.5,1
12888,155,1,25.200000000000003,25.200000000000003,0,1.0,12.0,1,0.5,0
12897,104,1,29.700000000000003,29.700000000000003,0,1.0,6.0,1,0.0,0
